gp_code,gp_name,elevation_mean,elevation_std,elevation_min,elevation_max,slope_mean
185338,PIMPARGANE,954.0,64.6,837.7,1089.6,12.23
185262,AHUPE,1009.9,70.9,882.3,1158.9,14.17
185330,PATAN GROUP,985.4,68.1,862.8,1128.5,13.31
185340,RAJPUR,991.7,68.9,867.7,1136.3,13.53
186175,TOKAWADE,997.0,69.5,872.0,1142.9,13.72
186133,MOROSHI,983.4,67.9,861.2,1126.1,13.24
186055,BHOMALE,998.5,69.6,873.2,1144.7,13.77
186055,BHOMALE,1048.9,75.3,913.3,1207.1,15.57
186056,BHORGIRI,1038.3,74.1,904.8,1194.0,15.19
185305,KONDHAWAL,1045.0,74.9,910.2,1202.3,15.43
186310,BHAMBARDE,1219.5,94.7,1049.1,1418.4,22.16
186351,MALE,1191.9,91.5,1027.1,1384.1,21.05
186300,AMBAVANE,1190.8,91.4,1026.2,1382.7,21.0
237308,KURWANDE,1214.8,94.1,1045.3,1412.5,21.97
259817,KUNE NAMA,1193.4,91.7,1028.3,1386.0,21.11
,,1217.7,94.5,1047.7,1416.1,22.09
,,1129.8,84.5,977.7,1307.3,18.61
,,1160.9,88.0,1002.4,1345.8,19.82
186293,WARSOLI,1154.3,87.3,997.2,1337.6,19.56
,,1134.6,85.1,981.5,1313.2,18.8
,,1105.1,81.7,958.0,1276.6,17.67
,,1099.8,81.1,953.8,1270.2,17.47
186293,WARSOLI,1101.0,81.3,954.8,1271.7,17.51
186291,WAKSAI,1077.8,78.6,936.3,1242.9,16.64
186289,WEHERGAON,1055.2,76.1,918.3,1214.9,15.81
186234,KARLA,1040.8,74.4,906.8,1197.0,15.28
186279,TAKAWE KH.,1006.7,70.6,879.7,1154.9,14.06
186269,SHILATANE,1025.1,72.6,894.4,1177.7,14.71
186240,KHANDSHI,1075.6,78.4,934.5,1240.2,16.56
186225,GOVITRI,1025.0,72.6,894.3,1177.5,14.71
186271,SHIRADHE,1085.7,79.5,942.6,1252.7,16.94
186285,UDHEWADI*,1159.8,87.9,1001.5,1344.4,19.78
186268,SAWALA,1109.1,82.2,961.2,1281.7,17.82
186239,KHAND,1104.0,81.6,957.2,1275.4,17.63
186215,DAHULI,1087.3,79.7,943.8,1254.6,17.0
186231,KAMBRE N.M.,1070.0,77.7,930.1,1233.3,16.35
186215,DAHULI,1038.2,74.1,904.7,1193.8,15.18
186227,INGALUN,1010.9,71.0,883.0,1160.0,14.21
186250,MALEGAON BK.,1062.5,76.9,924.1,1223.9,16.07
186193,WANDRE,1037.7,74.1,904.4,1193.3,15.17
186181,VIRHAM,1014.4,71.4,885.8,1164.4,14.33
186111,KHARPUD,1013.8,71.4,885.3,1163.6,14.31
186143,PARSUL,971.1,66.5,851.4,1110.8,12.82
186046,AMBOLI,965.7,65.9,847.0,1104.1,12.63
186045,AMBHU,981.1,67.7,859.3,1123.1,13.16
186236,KASHAL,965.4,65.9,846.8,1103.8,12.62
186083,GADAD,956.6,64.9,839.8,1092.9,12.32
186241,KONDIWADE A.M.,919.4,60.7,810.2,1046.8,11.08
186223,GHONSHET,943.7,63.4,829.6,1076.9,11.89
186212,BHOYARE,937.9,62.8,824.9,1069.7,11.69
186290,WADESHWAR,978.5,67.4,857.2,1119.9,13.07
186246,KUSAVALI,1027.0,72.9,895.9,1180.0,14.78
186286,UKSAN,1021.5,72.2,891.5,1173.2,14.59
186233,KARANJGAON,984.7,68.1,862.2,1127.7,13.29
186255,NANE,949.3,64.0,834.0,1083.8,12.07
186201,ADHALE BK.,973.0,66.7,852.8,1113.1,12.88
186241,KONDIWADE A.M.,965.6,65.9,847.0,1104.0,12.63
186266,SANGISE,1000.6,69.9,874.9,1147.4,13.84
186252,MUDHAWARE,982.1,67.8,860.1,1124.4,13.19
,,962.7,65.6,844.6,1100.3,12.53
186238,KHADKALA C.T.,942.8,63.3,828.9,1075.8,11.86
