gp_code,gp_name,dist_to_coast_km,dist_to_water_km
185338,PIMPARGANE,58.91,22.0
185262,AHUPE,54.51,22.39
185330,PATAN GROUP,58.94,17.16
185340,RAJPUR,58.84,13.04
186175,TOKAWADE,58.35,10.52
186133,MOROSHI,59.22,7.97
186055,BHOMALE,57.88,9.46
186055,BHOMALE,52.93,15.12
186056,BHORGIRI,53.98,13.7
185305,KONDHAWAL,53.32,17.89
186310,BHAMBARDE,38.6,61.08
186351,MALE,41.1,56.51
186300,AMBAVANE,42.34,53.61
237308,KURWANDE,38.75,46.53
259817,KUNE NAMA,38.97,40.88
,,37.75,43.36
,,42.9,39.47
,,40.94,40.44
186293,WARSOLI,41.32,38.52
,,42.59,37.41
,,44.58,35.78
,,44.85,36.84
186293,WARSOLI,44.78,38.16
186291,WAKSAI,46.38,36.39
186289,WEHERGAON,48.09,34.23
186234,KARLA,49.08,35.55
186279,TAKAWE KH.,51.86,32.41
186269,SHILATANE,50.38,33.21
186240,KHANDSHI,47.06,32.29
186225,GOVITRI,51.49,28.26
186271,SHIRADHE,46.44,28.89
186285,UDHEWADI*,41.46,35.63
186268,SAWALA,44.68,23.53
186239,KHAND,44.7,26.01
186215,DAHULI,46.1,25.89
186231,KAMBRE N.M.,47.6,24.71
186215,DAHULI,50.46,22.59
186227,INGALUN,53.68,17.57
186250,MALEGAON BK.,49.12,19.88
186193,WANDRE,52.42,15.53
186181,VIRHAM,55.16,12.51
186111,KHARPUD,55.89,11.23
186143,PARSUL,59.49,8.38
186046,AMBOLI,59.12,10.74
186045,AMBHU,57.18,13.36
186236,KASHAL,57.3,17.98
186083,GADAD,58.85,14.31
186241,KONDIWADE A.M.,61.02,20.53
186223,GHONSHET,58.67,23.98
186212,BHOYARE,59.45,19.54
186290,WADESHWAR,55.6,22.17
186246,KUSAVALI,51.31,23.52
186286,UKSAN,51.76,26.07
186233,KARANJGAON,55.0,26.14
186255,NANE,57.13,28.4
186201,ADHALE BK.,55.12,28.79
186241,KONDIWADE A.M.,56.19,26.9
186266,SANGISE,52.7,30.1
186252,MUDHAWARE,53.92,31.5
,,55.49,31.89
186238,KHADKALA C.T.,57.34,30.44
186232,KANHE,60.32,28.81
186263,SAI,59.6,26.17
186280,TAKAWE BK.,62.74,23.79
259689,Jambhul,63.71,26.4
186267,SATE,62.76,29.35
,,63.08,28.58
,,60.63,31.12
,,59.16,33.69
186209,BAUR,59.51,34.73
186274,SHIVANE,61.84,34.06
186258,OZHARDE,62.71,31.99
186202,ADHE,64.09,31.13
186201,ADHALE BK.,63.82,34.98
186200,ADHALE KH.,66.2,33.25
186262,PUSANE,65.23,35.86
186219,DIVAD,63.21,37.49
186220,DONE,61.03,37.44
237310,MALVANDI DHORE,60.02,36.16
186273,SHIVALI,56.99,39.35
186296,YELGHOL,58.71,39.74
186257,OWHALE,60.76,39.72
186248,MALVANDI THULE,57.43,41.93
186283,TIKONA,55.98,44.2
186294,WARU,54.29,42.74
186242,KOTHURNE,55.32,41.74
186295,YELSE,54.98,39.86
186228,KADADHE,55.44,37.49
186282,THUGAON,58.37,37.05
186235,KARUNJ,56.87,35.57
186214,CHIKHALSE,58.81,32.31
186244,KUSGAON KH.,56.98,32.42
186278,TAJE,54.06,34.23
186261,PATAN,51.4,35.7
,,49.82,36.32
186211,BHAJE,49.51,37.63
186247,MAHAGAON,52.6,38.21
237309,LOHGAD,49.8,40.02
186217,DEVALE,48.21,38.46
186249,MALVALI N.M.,46.99,37.9
186221,DONGARGAON,45.28,39.52
186208,OUNDHE KH.,46.54,40.51
186243,KUSGAON BK.,43.84,41.81
,,43.42,40.27
,,40.87,42.14
,,41.85,43.24
186207,APTI,44.84,44.55
,,44.36,47.63
186251,MORAVE,47.52,47.88
186237,KEWARE,50.97,46.59
186284,TUNG,48.82,45.61
186251,MORAVE,48.5,44.16
186205,AMBEGAON,50.39,42.59
,,52.63,42.69
186295,YELSE,52.14,41.61
186230,KALE COLONY,53.13,40.56
186281,THAKURSAI,53.56,45.0
,,52.97,47.13
186203,AJIVALI,52.11,48.37
186387,WALEN,53.07,48.41
186377,SHEDANI,49.85,51.6
186319,CHANDIVALI,48.77,51.83
186270,SHILIM,50.06,49.29
186347,KUMBHERI,44.2,53.43
186306,BARPE,41.33,57.28
186372,POMGAON,45.56,53.55
186388,WANDRE,43.54,59.36
186351,MALE,49.05,54.15
186388,WANDRE,46.88,54.69
186386,VALANE,52.66,49.84
186361,MULSHI KH.,53.23,50.46
186378,SHERE,57.48,47.4
186331,JAMGAON,55.93,48.39
186304,ASADE,57.73,46.02
,,56.77,46.44
186309,BHADAS BK.,55.47,47.56
186375,SAMBHAVE,54.18,49.09
186342,KOLWAN,55.74,46.33
186328,HADSHI,54.04,46.97
,,55.65,44.86
186305,BHALGUDI,57.03,43.85
186337,KATARKHADAK,60.26,40.8
186364,NANGAON,58.78,42.85
186376,SATHESAI,57.47,44.15
186345,KULE,61.1,41.7
186320,CHIKHALGAON,59.61,42.52
186338,KHAMBOLI,62.86,38.85
186370,PIMPALOLI,64.84,37.23
186333,JAVAL,63.92,39.04
186317,CHALE,62.88,41.41
186323,DHAKHANE,62.28,41.42
186365,NANEGAON,59.34,43.85
186346,KHUBVALI,59.78,44.25
186298,AKOLE,59.42,45.2
186302,ANDESHE,59.55,46.09
186343,KONDHAWALE,61.18,44.37
186373,RAWADE,61.7,43.17
186369,PAUD,63.73,42.03
186321,CHINCHWAD,61.64,44.34
186308,BELAWADE,61.49,44.87
186362,MUTHA,61.95,45.49
186352,MALEGAON,59.62,48.21
186303,ANDGAON,60.18,46.67
186339,KHARAWADE,58.07,48.66
186389,WANJALE,58.44,48.99
186341,KOLAWADE,56.31,50.04
186340,KHECHARE,58.9,47.15
186354,MANDEDE,57.06,48.65
186361,MULSHI KH.,51.87,53.63
186382,TEMGHAR,51.22,55.14
186349,LAVHARDE,53.86,52.15
186312,BHODE,53.69,53.38
186297,ADMAL,49.94,52.46
186324,DASAVE,48.27,54.55
186368,PATHARSHET,51.32,52.2
186368,PATHARSHET,52.93,51.07
186618,MOSE BK.,54.37,51.48
186357,MOSE KH.,52.94,50.12
186357,MOSE KH.,56.31,48.61
186391,WATUNDE,56.82,50.57
186627,SAIV BK.,56.91,51.03
186332,JATEDE,60.81,47.53
186297,ADMAL,59.76,48.6
186645,WARASGAON,58.78,49.69
186609,KURAN KH.,59.51,46.66
186596,KADAVE,58.7,44.0
186641,WADGHAR,56.88,45.48
186578,AMBEGAON KH.,54.35,47.51
186590,GIVSHI,54.6,45.12
,,56.01,41.89
186583,BHATTI WAKDARA,58.26,41.41
186597,KANAND,55.77,39.31
186583,BHATTI WAKDARA,57.3,37.33
186637,WELHE KH.,57.59,35.8
186604,KOLAMBI,52.75,37.49
186621,NIVI GEVHANDE,53.31,40.72
186588,GHISAR,50.69,41.88
186593,HARPUD,48.37,41.0
186614,MANGAON,46.95,45.89
186607,KOSHIMGHAR,46.72,49.17
186594,HIRPODI,47.76,48.64
186630,SHIRKOLI,51.44,45.08
186607,KOSHIMGHAR,50.61,48.18
186322,DARAWALI,51.61,49.52
186582,BALWAD,48.85,48.4
186381,TAV,47.29,51.21
186324,DASAVE,42.53,55.15
186591,GONDEKHAL GROUP,43.56,51.59
186636,TEKPOLE GROUP,42.78,48.7
186589,GHOL,39.39,53.02
186380,TAMHINI BK.,41.09,63.17
186326,DHAMANHOL,41.06,58.63
186315,BHOINI,46.19,56.15
186358,MUGAON,44.35,57.95
186390,WARAK,47.09,58.41
186392,WEGARE,48.74,57.07
186385,WADGAON,49.83,55.14
,,48.19,56.64
186367,NIVE,43.86,60.48
186600,KELAD,52.79,33.64
186595,JADHAVWADI,55.09,34.47
186629,SHENVAD,56.48,34.04
186607,KOSHIMGHAR,57.7,32.24
185468,ASHIMPI,58.46,23.35
185588,SHIRGAON,59.54,21.69
,,59.71,21.18
