gp_code,gp_name,landuse_cropland_pct,landuse_forest_pct,landuse_water_pct,landuse_builtup_pct
185338,PIMPARGANE,50.86,42.14,3.0,4.0
185262,AHUPE,46.17,46.83,3.0,4.0
185330,PATAN GROUP,50.25,42.75,3.0,4.0
185340,RAJPUR,50.97,42.03,3.0,4.0
186175,TOKAWADE,50.92,42.08,3.0,4.0
186133,MOROSHI,51.93,41.07,3.0,4.0
186055,BHOMALE,50.6,42.4,3.0,4.0
186055,BHOMALE,45.42,47.58,3.0,4.0
186056,BHORGIRI,46.59,46.41,3.0,4.0
185305,KONDHAWAL,45.13,47.87,3.0,4.0
186310,BHAMBARDE,20.34,70.3,5.36,4.0
186351,MALE,20.95,68.7,6.35,4.0
186300,AMBAVANE,21.43,68.8,5.77,4.0
237308,KURWANDE,18.96,70.46,6.58,4.0
259817,KUNE NAMA,21.75,68.59,5.66,4.0
,,20.06,70.45,5.49,4.0
,,21.85,64.07,10.08,4.0
,,21.88,66.36,7.76,4.0
186293,WARSOLI,23.54,65.63,6.83,4.0
,,24.34,64.08,7.58,4.0
,,25.47,61.68,8.85,4.0
,,23.74,61.51,10.75,4.0
186293,WARSOLI,21.97,61.81,12.22,4.0
186291,WAKSAI,23.19,59.81,13.0,4.0
186289,WEHERGAON,25.67,57.68,12.65,4.0
186234,KARLA,22.62,56.83,16.55,4.0
186279,TAKAWE KH.,27.86,53.49,14.64,4.01
186269,SHILATANE,26.5,55.13,14.37,4.0
186240,KHANDSHI,29.54,58.71,7.75,4.0
186225,GOVITRI,35.08,53.69,7.23,4.0
186271,SHIRADHE,33.34,58.27,4.39,4.0
186285,UDHEWADI*,26.05,65.41,4.54,4.0
186268,SAWALA,35.97,57.03,3.0,4.0
186239,KHAND,34.83,58.17,3.0,4.0
186215,DAHULI,35.95,57.05,3.0,4.0
186231,KAMBRE N.M.,37.63,55.37,3.0,4.0
186215,DAHULI,40.79,52.21,3.0,4.0
186227,INGALUN,45.15,47.85,3.0,4.0
186250,MALEGAON BK.,40.75,52.25,3.0,4.0
186193,WANDRE,44.73,48.27,3.0,4.0
186181,VIRHAM,47.7,45.3,3.0,4.0
186111,KHARPUD,48.59,44.41,3.0,4.0
186143,PARSUL,52.04,40.96,3.0,4.0
186046,AMBOLI,51.33,41.67,3.0,4.0
186045,AMBHU,49.16,43.84,3.0,4.0
186236,KASHAL,48.0,45.0,3.0,4.0
186083,GADAD,50.37,42.63,3.0,4.0
186241,KONDIWADE A.M.,47.98,45.0,3.0,4.02
186223,GHONSHET,44.56,45.77,5.65,4.02
186212,BHOYARE,47.99,45.0,3.0,4.01
186290,WADESHWAR,43.86,47.77,4.37,4.0
186246,KUSAVALI,41.1,51.9,3.0,4.0
186286,UKSAN,37.91,52.61,5.48,4.0
186233,KARANJGAON,39.2,49.85,6.94,4.01
186255,NANE,38.19,47.69,10.09,4.03
186201,ADHALE BK.,35.74,49.78,10.47,4.01
186241,KONDIWADE A.M.,39.22,48.58,8.19,4.01
186266,SANGISE,32.36,52.4,11.23,4.01
186252,MUDHAWARE,30.27,51.26,14.45,4.02
,,30.99,49.7,15.27,4.04
186238,KHADKALA C.T.,35.6,47.66,12.69,4.05
186232,KANHE,41.54,45.0,9.34,4.12
186263,SAI,43.63,45.07,7.25,4.05
186280,TAKAWE BK.,45.89,45.0,5.03,4.08
259689,Jambhul,44.61,45.0,6.14,4.25
186267,SATE,42.15,45.0,8.5,4.35
,,42.88,45.0,7.79,4.33
,,39.47,45.0,11.32,4.21
,,34.48,46.42,14.91,4.19
186209,BAUR,34.05,46.37,15.32,4.26
186274,SHIVANE,38.46,45.0,11.99,4.55
186258,OZHARDE,40.29,45.0,10.15,4.56
186202,ADHE,41.77,45.0,8.44,4.79
186201,ADHALE BK.,40.44,45.0,9.35,5.21
186200,ADHALE KH.,42.07,45.0,6.74,6.19
186262,PUSANE,40.67,45.0,8.1,6.23
186219,DIVAD,38.89,45.0,10.89,5.22
186220,DONE,36.21,45.95,13.26,4.58
237310,MALVANDI DHORE,34.19,46.34,15.1,4.37
186273,SHIVALI,26.4,49.91,19.53,4.16
186296,YELGHOL,29.38,48.6,17.71,4.31
186257,OWHALE,34.06,47.03,14.29,4.62
186248,MALVANDI THULE,26.45,50.48,18.86,4.21
186283,TIKONA,24.6,52.32,18.93,4.15
186294,WARU,20.65,53.53,21.75,4.07
186242,KOTHURNE,22.13,52.19,21.58,4.1
186295,YELSE,22.2,51.92,21.8,4.08
186228,KADADHE,23.81,50.82,21.29,4.08
186282,THUGAON,30.07,47.99,17.72,4.22
186235,KARUNJ,28.08,48.98,18.83,4.11
186214,CHIKHALSE,35.47,46.48,13.92,4.13
186244,KUSGAON KH.,32.19,48.29,15.45,4.07
186278,TAJE,25.63,51.5,18.84,4.03
186261,PATAN,21.8,54.47,19.72,4.01
,,20.99,56.21,18.79,4.01
186211,BHAJE,19.22,56.81,19.96,4.01
186247,MAHAGAON,19.43,53.83,22.71,4.03
237309,LOHGAD,17.17,57.13,21.69,4.01
186217,DEVALE,18.84,58.32,18.84,4.0
186249,MALVALI N.M.,20.41,59.45,16.14,4.0
186221,DONGARGAON,19.93,61.59,14.48,4.0
186208,OUNDHE KH.,18.12,60.57,17.31,4.0
186243,KUSGAON BK.,19.24,63.69,13.07,4.0
,,20.69,63.7,11.61,4.0
,,20.63,66.84,8.53,4.0
,,19.66,66.16,10.18,4.0
186207,APTI,18.31,63.61,14.08,4.0
,,19.55,65.2,11.25,4.0
186251,MORAVE,19.48,61.86,14.65,4.01
186237,KEWARE,19.73,57.9,18.34,4.03
186284,TUNG,19.06,59.97,16.96,4.01
186251,MORAVE,17.77,59.8,18.42,4.01
186205,AMBEGAON,17.5,57.35,21.13,4.02
,,18.51,55.14,22.31,4.04
186295,YELSE,18.43,55.27,22.27,4.03
186230,KALE COLONY,19.32,53.96,22.68,4.04
186281,THAKURSAI,20.94,54.85,20.15,4.06
,,22.43,55.35,18.15,4.07
186203,AJIVALI,22.89,55.72,17.32,4.07
186387,WALEN,23.71,53.64,18.48,4.17
186377,SHEDANI,21.16,57.05,17.73,4.06
186319,CHANDIVALI,21.9,59.1,14.97,4.03
186270,SHILIM,21.4,58.68,15.89,4.03
186347,KUMBHERI,21.6,65.51,8.89,4.0
186306,BARPE,21.2,67.85,6.95,4.0
186372,POMGAON,21.89,63.22,10.88,4.01
186388,WANDRE,20.02,63.4,12.57,4.01
186351,MALE,18.97,57.09,19.87,4.07
186388,WANDRE,20.34,60.22,15.42,4.02
186386,VALANE,21.66,53.47,20.67,4.2
186361,MULSHI KH.,20.84,52.44,22.44,4.28
186378,SHERE,28.74,47.73,18.51,5.02
186331,JAMGAON,25.96,49.48,19.92,4.64
186304,ASADE,29.58,47.81,17.64,4.97
,,27.94,48.95,18.4,4.71
186309,BHADAS BK.,25.46,50.33,19.72,4.49
186375,SAMBHAVE,22.79,51.57,21.29,4.35
186342,KOLWAN,27.11,50.5,17.96,4.43
186328,HADSHI,25.08,53.02,17.72,4.18
,,26.07,52.01,17.72,4.2
186305,BHALGUDI,29.1,50.14,16.4,4.36
186337,KATARKHADAK,35.17,46.78,13.2,4.85
186364,NANGAON,33.06,47.75,14.4,4.79
186376,SATHESAI,30.56,49.05,15.82,4.57
186345,KULE,37.34,45.0,11.81,5.85
186320,CHIKHALGAON,34.74,46.62,13.51,5.13
186338,KHAMBOLI,39.34,45.0,9.72,5.94
186370,PIMPALOLI,40.24,45.0,7.58,7.18
186333,JAVAL,39.24,45.0,8.37,7.39
186317,CHALE,37.93,45.0,9.49,7.58
186323,DHAKHANE,37.55,45.0,10.62,6.83
186365,NANEGAON,33.64,46.4,14.62,5.34
186346,KHUBVALI,34.94,45.67,13.69,5.7
186298,AKOLE,33.36,45.84,15.14,5.66
186302,ANDESHE,33.39,45.34,15.39,5.88
186343,KONDHAWALE,35.39,45.0,12.9,6.71
186373,RAWADE,36.36,45.0,11.7,6.94
186369,PAUD,36.88,45.0,9.13,8.99
186321,CHINCHWAD,36.22,45.0,11.16,7.62
186308,BELAWADE,35.46,45.0,11.63,7.91
186362,MUTHA,35.83,45.0,10.28,8.89
186352,MALEGAON,36.34,45.0,11.76,6.9
186303,ANDGAON,36.16,45.0,11.69,7.15
186339,KHARAWADE,36.67,45.0,12.45,5.88
186389,WANJALE,36.3,45.0,12.54,6.16
186341,KOLAWADE,32.64,46.68,15.54,5.14
186340,KHECHARE,34.63,45.0,14.36,6.01
186354,MANDEDE,29.17,47.34,18.4,5.09
186361,MULSHI KH.,20.2,53.09,22.49,4.22
186382,TEMGHAR,27.75,51.46,16.53,4.26
186349,LAVHARDE,26.97,49.57,18.93,4.53
186312,BHODE,32.61,48.25,14.55,4.59
186297,ADMAL,33.46,51.02,11.34,4.18
186324,DASAVE,30.83,53.27,11.79,4.11
186368,PATHARSHET,34.22,49.63,11.87,4.28
186368,PATHARSHET,35.93,47.78,11.84,4.45
186618,MOSE BK.,36.83,46.54,11.93,4.7
186357,MOSE KH.,36.27,47.53,11.77,4.43
186357,MOSE KH.,37.04,45.0,12.9,5.06
186391,WATUNDE,37.02,45.06,12.49,5.43
186627,SAIV BK.,37.44,45.0,12.15,5.41
186332,JATEDE,35.7,45.0,11.48,7.82
186297,ADMAL,35.57,45.0,12.81,6.62
186645,WARASGAON,36.58,45.0,12.24,6.18
186609,KURAN KH.,34.53,45.0,14.32,6.15
186596,KADAVE,32.99,45.0,16.69,5.32
186641,WADGHAR,34.31,45.0,15.75,4.94
186578,AMBEGAON KH.,36.84,45.6,13.02,4.54
186590,GIVSHI,35.04,45.0,15.51,4.45
,,31.26,45.0,19.31,4.43
186583,BHATTI WAKDARA,29.82,45.0,20.38,4.8
186597,KANAND,28.95,45.0,21.81,4.24
186583,BHATTI WAKDARA,27.83,45.0,22.91,4.26
186637,WELHE KH.,28.21,45.0,22.59,4.2
186604,KOLAMBI,32.04,46.1,17.81,4.05
186621,NIVI GEVHANDE,31.05,45.72,19.1,4.13
186588,GHISAR,32.23,48.43,15.28,4.06
186593,HARPUD,33.65,50.79,11.54,4.02
186614,MANGAON,34.31,52.58,9.08,4.03
186607,KOSHIMGHAR,34.13,53.32,8.51,4.04
186594,HIRPODI,34.34,52.18,9.42,4.06
186630,SHIRKOLI,34.43,47.98,13.44,4.15
186607,KOSHIMGHAR,35.0,49.31,11.52,4.17
186322,DARAWALI,35.57,48.65,11.51,4.27
186582,BALWAD,34.55,51.06,10.3,4.09
186381,TAV,33.7,53.23,9.0,4.07
186324,DASAVE,30.88,59.03,6.08,4.01
186591,GONDEKHAL GROUP,32.7,57.0,6.28,4.02
186636,TEKPOLE GROUP,33.47,57.27,5.25,4.01
186589,GHOL,31.44,61.56,3.0,4.0
186380,TAMHINI BK.,23.09,63.91,8.99,4.01
186326,DHAMANHOL,27.2,61.75,7.04,4.01
186315,BHOINI,29.61,55.84,10.5,4.05
186358,MUGAON,27.39,58.3,10.28,4.03
186390,WARAK,20.23,57.82,17.9,4.05
186392,WEGARE,22.82,54.95,18.13,4.1
186385,WADGAON,18.17,55.89,21.84,4.1
,,18.18,57.75,20.02,4.05
186367,NIVE,19.88,62.78,13.33,4.01
186600,KELAD,37.49,45.99,12.51,4.01
186595,JADHAVWADI,32.44,45.0,18.51,4.05
186629,SHENVAD,31.0,45.0,19.92,4.08
186607,KOSHIMGHAR,32.49,45.0,18.43,4.08
185468,ASHIMPI,50.34,41.44,4.22,4.0
185588,SHIRGAON,52.29,40.71,3.0,4.0
,,52.21,40.79,3.0,4.0
185493,GUDHE GR.,57.46,35.54,3.0,4.0
185489,DURGADI,53.42,39.58,3.0,4.0
185589,SHIRVALI HIMA,55.16,37.84,3.0,4.0
185612,VARAVAND,55.19,37.81,3.0,4.0
185501,HIRDOSHI,55.94,35.95,4.11,4.0
185557,PARHAR BK.,58.48,33.52,4.0,4.0
185483,DAPAKEGHAR,59.19,32.0,4.81,4.0
185564,PARHAR KH.,58.61,34.39,3.0,4.0
185527,KONDHARI B.K.,57.68,33.78,4.53,4.01
185556,NIGUDGHAR,58.44,31.04,6.51,4.01
185573,RAYARI,58.86,29.93,7.21,4.0
185574,SALAV,59.11,30.58,6.31,4.0
185573,RAYARI,59.85,31.83,4.32,4.0
185528,KORLE,61.65,29.16,5.19,4.0
185607,VADTUMBI,61.55,27.47,6.98,4.0
185596,TITEGHAR,62.82,27.43,5.75,4.0
185538,MHAKOSHI,61.19,26.23,8.58,4.0
185481,CHIKHALGAON,63.51,25.72,6.77,4.0
185611,VARODI KH.,64.87,22.26,8.87,4.0
185463,AAMBADE,64.59,21.33,10.08,4.0
185560,PALE,61.84,22.64,11.52,4.0
185609,VARODI BK.,63.66,23.3,9.04,4.0
185610,VARODI DAYMUKH,64.51,22.86,8.63,4.0
185572,RAVDI,63.33,24.53,8.14,4.0
185517,KARNAVAD,61.44,24.34,10.22,4.0
185547,NAZRE,58.83,24.61,12.56,4.0
185487,DHAVADI,57.62,22.8,15.57,4.01
185559,PALSOSHI,59.6,22.67,13.73,4.0
185553,NERE,59.19,21.27,15.53,4.01
185500,HATNOSHI,54.48,22.26,19.25,4.01
185523,KHANAPUR,55.64,20.99,19.36,4.01
185475,BHABAVADI,52.76,21.64,21.57,4.03
185469,BAJARWADI,55.04,23.05,17.9,4.01
,,53.61,24.01,18.36,4.02
185551,NATAMBI,54.84,25.1,16.04,4.02
185549,NANDGAON,56.17,27.16,12.65,4.02
185579,SANGVI T. BHOR,57.53,26.78,11.68,4.01
185513,KARANJE,56.29,25.72,13.98,4.01
185561,PANVHAL,57.32,25.29,13.38,4.01
185465,AMBAVADE,59.48,26.34,10.18,4.0
185514,KARI,59.79,28.24,7.97,4.0
185477,BHAVEKHAL,58.32,28.93,8.74,4.01
185466,ANGASULE,58.33,27.95,9.71,4.01
185467,APTI,57.08,28.49,10.41,4.02
185533,MAHUDE BK.,56.37,28.44,11.14,4.05
185504,JAYATPAD,55.97,29.55,10.34,4.14
185534,MAHUDE KH.,55.97,27.92,12.03,4.08
,,54.48,26.55,14.88,4.09
185548,NAND,53.41,25.74,16.76,4.09
185586,SHIND,53.01,25.26,17.62,4.11
185567,PISAVARE,53.96,26.07,15.93,4.04
185613,VATHARHIMA,54.47,26.09,15.41,4.03
185464,AMBEGHAR,52.88,24.68,18.41,4.03
185590,SHIRVALI T. BHOR,51.88,24.12,19.95,4.05
185568,POMBARDI,51.22,23.56,21.15,4.07
185604,VENAVADI,51.22,23.19,21.54,4.05
,,51.29,22.09,22.57,4.05
185478,BHOLAVADE,51.36,21.91,22.61,4.12
185474,BASARAPUR,51.82,22.25,21.75,4.18
185471,BARE BK.,52.66,23.81,19.32,4.21
185472,BARE KH,51.95,23.08,20.79,4.18
299221,KIVAT,51.22,23.13,21.53,4.12
185490,GAWADI,52.4,24.51,18.96,4.13
185539,MHALAVADI,54.13,24.52,17.06,4.29
185505,JOGAWADI,57.18,24.12,14.0,4.7
185537,MAZGAON,56.19,23.05,16.16,4.6
