gp_code,gp_name,assigned_block_name,assigned_block_lgd,district_name,state_name
185338,PIMPARGANE,AMBEGAON,4511,Pune,MAHARASHTRA
185262,AHUPE,AMBEGAON,4511,Pune,MAHARASHTRA
185330,PATAN GROUP,AMBEGAON,4511,Pune,MAHARASHTRA
185340,RAJPUR,AMBEGAON,4511,Pune,MAHARASHTRA
186175,TOKAWADE,KHED,4518,Pune,MAHARASHTRA
186133,MOROSHI,KHED,4518,Pune,MAHARASHTRA
186055,BHOMALE,KHED,4518,Pune,MAHARASHTRA
186056,BHORGIRI,KHED,4518,Pune,MAHARASHTRA
185305,KONDHAWAL,AMBEGAON,4511,Pune,MAHARASHTRA
186310,BHAMBARDE,MULSHI,4520,Pune,MAHARASHTRA
186351,MALE,MULSHI,4520,Pune,MAHARASHTRA
186300,AMBAVANE,MULSHI,4520,Pune,MAHARASHTRA
237308,KURWANDE,MAVAL,4519,Pune,MAHARASHTRA
259817,KUNE NAMA,MAVAL,4519,Pune,MAHARASHTRA
,,MAVAL,4519,Pune,MAHARASHTRA
186293,WARSOLI,MAVAL,4519,Pune,MAHARASHTRA
186291,WAKSAI,MAVAL,4519,Pune,MAHARASHTRA
186289,WEHERGAON,MAVAL,4519,Pune,MAHARASHTRA
186234,KARLA,MAVAL,4519,Pune,MAHARASHTRA
186279,TAKAWE KH.,MAVAL,4519,Pune,MAHARASHTRA
186269,SHILATANE,MAVAL,4519,Pune,MAHARASHTRA
186240,KHANDSHI,MAVAL,4519,Pune,MAHARASHTRA
186225,GOVITRI,MAVAL,4519,Pune,MAHARASHTRA
186271,SHIRADHE,MAVAL,4519,Pune,MAHARASHTRA
186285,UDHEWADI*,MAVAL,4519,Pune,MAHARASHTRA
186268,SAWALA,MAVAL,4519,Pune,MAHARASHTRA
186239,KHAND,MAVAL,4519,Pune,MAHARASHTRA
186215,DAHULI,MAVAL,4519,Pune,MAHARASHTRA
186231,KAMBRE N.M.,MAVAL,4519,Pune,MAHARASHTRA
186227,INGALUN,MAVAL,4519,Pune,MAHARASHTRA
186250,MALEGAON BK.,MAVAL,4519,Pune,MAHARASHTRA
186193,WANDRE,KHED,4518,Pune,MAHARASHTRA
186181,VIRHAM,KHED,4518,Pune,MAHARASHTRA
186111,KHARPUD,KHED,4518,Pune,MAHARASHTRA
186143,PARSUL,KHED,4518,Pune,MAHARASHTRA
186046,AMBOLI,KHED,4518,Pune,MAHARASHTRA
186045,AMBHU,KHED,4518,Pune,MAHARASHTRA
186236,KASHAL,MAVAL,4519,Pune,MAHARASHTRA
186083,GADAD,KHED,4518,Pune,MAHARASHTRA
186241,KONDIWADE A.M.,MAVAL,4519,Pune,MAHARASHTRA
186223,GHONSHET,MAVAL,4519,Pune,MAHARASHTRA
186212,BHOYARE,MAVAL,4519,Pune,MAHARASHTRA
186290,WADESHWAR,MAVAL,4519,Pune,MAHARASHTRA
186246,KUSAVALI,MAVAL,4519,Pune,MAHARASHTRA
186286,UKSAN,MAVAL,4519,Pune,MAHARASHTRA
186233,KARANJGAON,MAVAL,4519,Pune,MAHARASHTRA
186255,NANE,MAVAL,4519,Pune,MAHARASHTRA
186201,ADHALE BK.,MAVAL,4519,Pune,MAHARASHTRA
186266,SANGISE,MAVAL,4519,Pune,MAHARASHTRA
186252,MUDHAWARE,MAVAL,4519,Pune,MAHARASHTRA
186238,KHADKALA C.T.,MAVAL,4519,Pune,MAHARASHTRA
186232,KANHE,MAVAL,4519,Pune,MAHARASHTRA
186263,SAI,MAVAL,4519,Pune,MAHARASHTRA
186280,TAKAWE BK.,MAVAL,4519,Pune,MAHARASHTRA
259689,Jambhul,MAVAL,4519,Pune,MAHARASHTRA
186267,SATE,MAVAL,4519,Pune,MAHARASHTRA
186209,BAUR,MAVAL,4519,Pune,MAHARASHTRA
186274,SHIVANE,MAVAL,4519,Pune,MAHARASHTRA
186258,OZHARDE,MAVAL,4519,Pune,MAHARASHTRA
186202,ADHE,MAVAL,4519,Pune,MAHARASHTRA
186200,ADHALE KH.,MAVAL,4519,Pune,MAHARASHTRA
186262,PUSANE,MAVAL,4519,Pune,MAHARASHTRA
186219,DIVAD,MAVAL,4519,Pune,MAHARASHTRA
186220,DONE,MAVAL,4519,Pune,MAHARASHTRA
237310,MALVANDI DHORE,MAVAL,4519,Pune,MAHARASHTRA
186273,SHIVALI,MAVAL,4519,Pune,MAHARASHTRA
186296,YELGHOL,MAVAL,4519,Pune,MAHARASHTRA
186257,OWHALE,MAVAL,4519,Pune,MAHARASHTRA
186248,MALVANDI THULE,MAVAL,4519,Pune,MAHARASHTRA
186283,TIKONA,MAVAL,4519,Pune,MAHARASHTRA
186294,WARU,MAVAL,4519,Pune,MAHARASHTRA
186242,KOTHURNE,MAVAL,4519,Pune,MAHARASHTRA
186295,YELSE,MAVAL,4519,Pune,MAHARASHTRA
186228,KADADHE,MAVAL,4519,Pune,MAHARASHTRA
186282,THUGAON,MAVAL,4519,Pune,MAHARASHTRA
186235,KARUNJ,MAVAL,4519,Pune,MAHARASHTRA
186214,CHIKHALSE,MAVAL,4519,Pune,MAHARASHTRA
186244,KUSGAON KH.,MAVAL,4519,Pune,MAHARASHTRA
186278,TAJE,MAVAL,4519,Pune,MAHARASHTRA
186261,PATAN,MAVAL,4519,Pune,MAHARASHTRA
186211,BHAJE,MAVAL,4519,Pune,MAHARASHTRA
186247,MAHAGAON,MAVAL,4519,Pune,MAHARASHTRA
237309,LOHGAD,MAVAL,4519,Pune,MAHARASHTRA
186217,DEVALE,MAVAL,4519,Pune,MAHARASHTRA
186249,MALVALI N.M.,MAVAL,4519,Pune,MAHARASHTRA
186221,DONGARGAON,MAVAL,4519,Pune,MAHARASHTRA
186208,OUNDHE KH.,MAVAL,4519,Pune,MAHARASHTRA
186243,KUSGAON BK.,MAVAL,4519,Pune,MAHARASHTRA
186207,APTI,MAVAL,4519,Pune,MAHARASHTRA
186251,MORAVE,MAVAL,4519,Pune,MAHARASHTRA
186237,KEWARE,MAVAL,4519,Pune,MAHARASHTRA
186284,TUNG,MAVAL,4519,Pune,MAHARASHTRA
186205,AMBEGAON,MAVAL,4519,Pune,MAHARASHTRA
186230,KALE COLONY,MAVAL,4519,Pune,MAHARASHTRA
186281,THAKURSAI,MAVAL,4519,Pune,MAHARASHTRA
186203,AJIVALI,MAVAL,4519,Pune,MAHARASHTRA
186387,WALEN,MULSHI,4520,Pune,MAHARASHTRA
186377,SHEDANI,MULSHI,4520,Pune,MAHARASHTRA
186319,CHANDIVALI,MULSHI,4520,Pune,MAHARASHTRA
186270,SHILIM,MAVAL,4519,Pune,MAHARASHTRA
186347,KUMBHERI,MULSHI,4520,Pune,MAHARASHTRA
186306,BARPE,MULSHI,4520,Pune,MAHARASHTRA
186372,POMGAON,MULSHI,4520,Pune,MAHARASHTRA
186388,WANDRE,MULSHI,4520,Pune,MAHARASHTRA
186386,VALANE,MULSHI,4520,Pune,MAHARASHTRA
186361,MULSHI KH.,MULSHI,4520,Pune,MAHARASHTRA
186378,SHERE,MULSHI,4520,Pune,MAHARASHTRA
186331,JAMGAON,MULSHI,4520,Pune,MAHARASHTRA
186304,ASADE,MULSHI,4520,Pune,MAHARASHTRA
186309,BHADAS BK.,MULSHI,4520,Pune,MAHARASHTRA
186375,SAMBHAVE,MULSHI,4520,Pune,MAHARASHTRA
186342,KOLWAN,MULSHI,4520,Pune,MAHARASHTRA
186328,HADSHI,MULSHI,4520,Pune,MAHARASHTRA
186305,BHALGUDI,MULSHI,4520,Pune,MAHARASHTRA
186337,KATARKHADAK,MULSHI,4520,Pune,MAHARASHTRA
186364,NANGAON,MULSHI,4520,Pune,MAHARASHTRA
186376,SATHESAI,MULSHI,4520,Pune,MAHARASHTRA
186345,KULE,MULSHI,4520,Pune,MAHARASHTRA
186320,CHIKHALGAON,MULSHI,4520,Pune,MAHARASHTRA
186338,KHAMBOLI,MULSHI,4520,Pune,MAHARASHTRA
186370,PIMPALOLI,MULSHI,4520,Pune,MAHARASHTRA
186333,JAVAL,MULSHI,4520,Pune,MAHARASHTRA
186317,CHALE,MULSHI,4520,Pune,MAHARASHTRA
186323,DHAKHANE,MULSHI,4520,Pune,MAHARASHTRA
186365,NANEGAON,MULSHI,4520,Pune,MAHARASHTRA
186346,KHUBVALI,MULSHI,4520,Pune,MAHARASHTRA
186298,AKOLE,MULSHI,4520,Pune,MAHARASHTRA
186302,ANDESHE,MULSHI,4520,Pune,MAHARASHTRA
186343,KONDHAWALE,MULSHI,4520,Pune,MAHARASHTRA
186373,RAWADE,MULSHI,4520,Pune,MAHARASHTRA
186369,PAUD,MULSHI,4520,Pune,MAHARASHTRA
186321,CHINCHWAD,MULSHI,4520,Pune,MAHARASHTRA
186308,BELAWADE,MULSHI,4520,Pune,MAHARASHTRA
186362,MUTHA,MULSHI,4520,Pune,MAHARASHTRA
186352,MALEGAON,MULSHI,4520,Pune,MAHARASHTRA
186303,ANDGAON,MULSHI,4520,Pune,MAHARASHTRA
186339,KHARAWADE,MULSHI,4520,Pune,MAHARASHTRA
186389,WANJALE,MULSHI,4520,Pune,MAHARASHTRA
186341,KOLAWADE,MULSHI,4520,Pune,MAHARASHTRA
186340,KHECHARE,MULSHI,4520,Pune,MAHARASHTRA
186354,MANDEDE,MULSHI,4520,Pune,MAHARASHTRA
186382,TEMGHAR,MULSHI,4520,Pune,MAHARASHTRA
186349,LAVHARDE,MULSHI,4520,Pune,MAHARASHTRA
186312,BHODE,MULSHI,4520,Pune,MAHARASHTRA
186297,ADMAL,MULSHI,4520,Pune,MAHARASHTRA
186324,DASAVE,MULSHI,4520,Pune,MAHARASHTRA
186368,PATHARSHET,MULSHI,4520,Pune,MAHARASHTRA
186618,MOSE BK.,VELHE,4524,Pune,MAHARASHTRA
186357,MOSE KH.,MULSHI,4520,Pune,MAHARASHTRA
186391,WATUNDE,MULSHI,4520,Pune,MAHARASHTRA
186627,SAIV BK.,VELHE,4524,Pune,MAHARASHTRA
186332,JATEDE,MULSHI,4520,Pune,MAHARASHTRA
186645,WARASGAON,VELHE,4524,Pune,MAHARASHTRA
186609,KURAN KH.,VELHE,4524,Pune,MAHARASHTRA
186596,KADAVE,VELHE,4524,Pune,MAHARASHTRA
186641,WADGHAR,VELHE,4524,Pune,MAHARASHTRA
186578,AMBEGAON KH.,VELHE,4524,Pune,MAHARASHTRA
186590,GIVSHI,VELHE,4524,Pune,MAHARASHTRA
186583,BHATTI WAKDARA,VELHE,4524,Pune,MAHARASHTRA
186597,KANAND,VELHE,4524,Pune,MAHARASHTRA
186637,WELHE KH.,VELHE,4524,Pune,MAHARASHTRA
186604,KOLAMBI,VELHE,4524,Pune,MAHARASHTRA
186621,NIVI GEVHANDE,VELHE,4524,Pune,MAHARASHTRA
186588,GHISAR,VELHE,4524,Pune,MAHARASHTRA
186593,HARPUD,VELHE,4524,Pune,MAHARASHTRA
186614,MANGAON,VELHE,4524,Pune,MAHARASHTRA
186607,KOSHIMGHAR,VELHE,4524,Pune,MAHARASHTRA
186594,HIRPODI,VELHE,4524,Pune,MAHARASHTRA
186630,SHIRKOLI,VELHE,4524,Pune,MAHARASHTRA
186322,DARAWALI,MULSHI,4520,Pune,MAHARASHTRA
186582,BALWAD,VELHE,4524,Pune,MAHARASHTRA
186381,TAV,MULSHI,4520,Pune,MAHARASHTRA
186591,GONDEKHAL GROUP,VELHE,4524,Pune,MAHARASHTRA
186636,TEKPOLE GROUP,VELHE,4524,Pune,MAHARASHTRA
186589,GHOL,VELHE,4524,Pune,MAHARASHTRA
186380,TAMHINI BK.,MULSHI,4520,Pune,MAHARASHTRA
186326,DHAMANHOL,MULSHI,4520,Pune,MAHARASHTRA
186315,BHOINI,MULSHI,4520,Pune,MAHARASHTRA
186358,MUGAON,MULSHI,4520,Pune,MAHARASHTRA
186390,WARAK,MULSHI,4520,Pune,MAHARASHTRA
186392,WEGARE,MULSHI,4520,Pune,MAHARASHTRA
186385,WADGAON,MULSHI,4520,Pune,MAHARASHTRA
186367,NIVE,MULSHI,4520,Pune,MAHARASHTRA
186600,KELAD,VELHE,4524,Pune,MAHARASHTRA
186595,JADHAVWADI,VELHE,4524,Pune,MAHARASHTRA
186629,SHENVAD,VELHE,4524,Pune,MAHARASHTRA
185468,ASHIMPI,BHOR,4513,Pune,MAHARASHTRA
185588,SHIRGAON,BHOR,4513,Pune,MAHARASHTRA
185493,GUDHE GR.,BHOR,4513,Pune,MAHARASHTRA
185489,DURGADI,BHOR,4513,Pune,MAHARASHTRA
185589,SHIRVALI HIMA,BHOR,4513,Pune,MAHARASHTRA
185612,VARAVAND,BHOR,4513,Pune,MAHARASHTRA
185501,HIRDOSHI,BHOR,4513,Pune,MAHARASHTRA
185557,PARHAR BK.,BHOR,4513,Pune,MAHARASHTRA
185483,DAPAKEGHAR,BHOR,4513,Pune,MAHARASHTRA
185564,PARHAR KH.,BHOR,4513,Pune,MAHARASHTRA
185527,KONDHARI B.K.,BHOR,4513,Pune,MAHARASHTRA
185556,NIGUDGHAR,BHOR,4513,Pune,MAHARASHTRA
185573,RAYARI,BHOR,4513,Pune,MAHARASHTRA
185574,SALAV,BHOR,4513,Pune,MAHARASHTRA
185528,KORLE,BHOR,4513,Pune,MAHARASHTRA
185607,VADTUMBI,BHOR,4513,Pune,MAHARASHTRA
185596,TITEGHAR,BHOR,4513,Pune,MAHARASHTRA
185538,MHAKOSHI,BHOR,4513,Pune,MAHARASHTRA
185481,CHIKHALGAON,BHOR,4513,Pune,MAHARASHTRA
185611,VARODI KH.,BHOR,4513,Pune,MAHARASHTRA
185463,AAMBADE,BHOR,4513,Pune,MAHARASHTRA
185560,PALE,BHOR,4513,Pune,MAHARASHTRA
185609,VARODI BK.,BHOR,4513,Pune,MAHARASHTRA
185610,VARODI DAYMUKH,BHOR,4513,Pune,MAHARASHTRA
185572,RAVDI,BHOR,4513,Pune,MAHARASHTRA
185517,KARNAVAD,BHOR,4513,Pune,MAHARASHTRA
185547,NAZRE,BHOR,4513,Pune,MAHARASHTRA
185487,DHAVADI,BHOR,4513,Pune,MAHARASHTRA
185559,PALSOSHI,BHOR,4513,Pune,MAHARASHTRA
185553,NERE,BHOR,4513,Pune,MAHARASHTRA
185500,HATNOSHI,BHOR,4513,Pune,MAHARASHTRA
185523,KHANAPUR,BHOR,4513,Pune,MAHARASHTRA
185475,BHABAVADI,BHOR,4513,Pune,MAHARASHTRA
185469,BAJARWADI,BHOR,4513,Pune,MAHARASHTRA
185551,NATAMBI,BHOR,4513,Pune,MAHARASHTRA
185549,NANDGAON,BHOR,4513,Pune,MAHARASHTRA
185579,SANGVI T. BHOR,BHOR,4513,Pune,MAHARASHTRA
185513,KARANJE,BHOR,4513,Pune,MAHARASHTRA
185561,PANVHAL,BHOR,4513,Pune,MAHARASHTRA
185465,AMBAVADE,BHOR,4513,Pune,MAHARASHTRA
185514,KARI,BHOR,4513,Pune,MAHARASHTRA
185477,BHAVEKHAL,BHOR,4513,Pune,MAHARASHTRA
185466,ANGASULE,BHOR,4513,Pune,MAHARASHTRA
185467,APTI,BHOR,4513,Pune,MAHARASHTRA
185533,MAHUDE BK.,BHOR,4513,Pune,MAHARASHTRA
185504,JAYATPAD,BHOR,4513,Pune,MAHARASHTRA
185534,MAHUDE KH.,BHOR,4513,Pune,MAHARASHTRA
185548,NAND,BHOR,4513,Pune,MAHARASHTRA
185586,SHIND,BHOR,4513,Pune,MAHARASHTRA
185567,PISAVARE,BHOR,4513,Pune,MAHARASHTRA
185613,VATHARHIMA,BHOR,4513,Pune,MAHARASHTRA
185464,AMBEGHAR,BHOR,4513,Pune,MAHARASHTRA
185590,SHIRVALI T. BHOR,BHOR,4513,Pune,MAHARASHTRA
185568,POMBARDI,BHOR,4513,Pune,MAHARASHTRA
185604,VENAVADI,BHOR,4513,Pune,MAHARASHTRA
185478,BHOLAVADE,BHOR,4513,Pune,MAHARASHTRA
185474,BASARAPUR,BHOR,4513,Pune,MAHARASHTRA
185471,BARE BK.,BHOR,4513,Pune,MAHARASHTRA
185472,BARE KH,BHOR,4513,Pune,MAHARASHTRA
299221,KIVAT,BHOR,4513,Pune,MAHARASHTRA
185490,GAWADI,BHOR,4513,Pune,MAHARASHTRA
185539,MHALAVADI,BHOR,4513,Pune,MAHARASHTRA
185505,JOGAWADI,BHOR,4513,Pune,MAHARASHTRA
185537,MAZGAON,BHOR,4513,Pune,MAHARASHTRA
185497,HARNAS,BHOR,4513,Pune,MAHARASHTRA
185473,BRAMHANGHAR V.K.,BHOR,4513,Pune,MAHARASHTRA
185499,HATVE KH.,BHOR,4513,Pune,MAHARASHTRA
185498,HATAVE BK.,BHOR,4513,Pune,MAHARASHTRA
185593,TAMBHAD,BHOR,4513,Pune,MAHARASHTRA
186631,SONDE HIROJI,VELHE,4524,Pune,MAHARASHTRA
186634,SONDE SARPHALA,VELHE,4524,Pune,MAHARASHTRA
185511,KARANDI BK.,BHOR,4513,Pune,MAHARASHTRA
185606,VADHANE,BHOR,4513,Pune,MAHARASHTRA
185491,GORADMHASAVALI,BHOR,4513,Pune,MAHARASHTRA
185566,PASURE,BHOR,4513,Pune,MAHARASHTRA
185570,RAJGHAR,BHOR,4513,Pune,MAHARASHTRA
185516,KARANDI KH.,BHOR,4513,Pune,MAHARASHTRA
186580,ASANI DAMGUDA,VELHE,4524,Pune,MAHARASHTRA
185506,KAMBARE KH.,BHOR,4513,Pune,MAHARASHTRA
185531,KURUNJI,BHOR,4513,Pune,MAHARASHTRA
186592,GUNJAVANE,VELHE,4524,Pune,MAHARASHTRA
185535,MALE,BHOR,4513,Pune,MAHARASHTRA
185603,VELVAND,BHOR,4513,Pune,MAHARASHTRA
185512,KARANJGAON,BHOR,4513,Pune,MAHARASHTRA
185540,MHASAR KH.,BHOR,4513,Pune,MAHARASHTRA
185541,MHASAR BK.,BHOR,4513,Pune,MAHARASHTRA
185485,DEHEN GR.,BHOR,4513,Pune,MAHARASHTRA
185563,PANGARI,BHOR,4513,Pune,MAHARASHTRA
185576,SALUNGAN,BHOR,4513,Pune,MAHARASHTRA
185585,SHILIMB,BHOR,4513,Pune,MAHARASHTRA
185529,KUMBALE,BHOR,4513,Pune,MAHARASHTRA
185480,BHUTONDE,BHOR,4513,Pune,MAHARASHTRA
185494,GUHINI,BHOR,4513,Pune,MAHARASHTRA
186617,METPILAWARE,VELHE,4524,Pune,MAHARASHTRA
186638,WELHE BK.,VELHE,4524,Pune,MAHARASHTRA
186602,KHARIV,VELHE,4524,Pune,MAHARASHTRA
186642,WAJEGHAR,VELHE,4524,Pune,MAHARASHTRA
186624,PAL BK.,VELHE,4524,Pune,MAHARASHTRA
186611,LAVHI BK.,VELHE,4524,Pune,MAHARASHTRA
186616,MERAVANE,VELHE,4524,Pune,MAHARASHTRA
186585,CHIRMODI,VELHE,4524,Pune,MAHARASHTRA
186581,ASNI MANJAI,VELHE,4524,Pune,MAHARASHTRA
186628,SAKHAR,VELHE,4524,Pune,MAHARASHTRA
186639,VINZHAR,VELHE,4524,Pune,MAHARASHTRA
186610,LASHIRGAON,VELHE,4524,Pune,MAHARASHTRA
186612,MALAVALI,VELHE,4524,Pune,MAHARASHTRA
186644,WANJALE,VELHE,4524,Pune,MAHARASHTRA
186587,DAPODE,VELHE,4524,Pune,MAHARASHTRA
186625,RANJANE,VELHE,4524,Pune,MAHARASHTRA
185728,KHAMGAON MAVAL,HAVELI,4515,Pune,MAHARASHTRA
