fold,held_out_block,n_panchayats,n_samples,baseline_rmse,model_rmse,skill_score_pct,baseline_mae,model_mae,csi_improvement
1,AMBEGAON,100,15300,1.282,0.84,34.43,0.648,0.495,-0.0242
2,BARAMATI,98,14994,2.271,0.831,63.41,1.143,0.436,0.0037
3,BHOR,153,23409,0.972,0.824,15.19,0.6,0.47,-0.018
4,DAUND,75,11475,2.767,1.428,48.4,1.277,0.579,0.1629
5,HAVELI,85,13005,1.279,0.885,30.83,0.683,0.502,-0.0243
6,INDAPUR,110,16830,2.387,0.938,60.72,1.207,0.462,0.0553
7,JUNNAR,140,21420,0.944,0.774,17.95,0.583,0.471,0.0234
8,KHED,154,23562,1.216,0.775,36.27,0.608,0.45,0.0406
9,MAVAL,102,15759,6.919,2.616,62.19,3.172,1.336,0.0211
10,MULSHI,94,14382,3.113,1.81,41.85,1.515,1.004,0.0697
11,PUNE CITY,1,153,0.829,0.699,15.66,0.533,0.408,0.0614
12,PURANDAR,85,13005,0.957,0.704,26.42,0.607,0.445,0.0995
13,SHIRUR,85,13005,0.899,0.881,2.03,0.575,0.462,0.049
14,VELHE,68,10404,6.087,1.884,69.06,2.522,1.07,0.0231
